Year,Date,Start,End,Location,Site,Habitat,Transect,Swath,Taxonomy,Family,Count,Total_Length,Length_Anomaly,Biomass,Comment,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Canthigaster solandri,Tetraodontidae,1,70,0,9.85,NA,Primary Consumer,Omnivore,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Caracanthus maculatus,Scorpaenidae,1,30,0,0.6,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Caracanthus maculatus,Scorpaenidae,2,35,0,1.88,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Caracanthus maculatus,Scorpaenidae,2,40,0,2.77,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Caracanthus maculatus,Scorpaenidae,3,45,0,5.86,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Chrysiptera brownriggii,Pomacentridae,1,35,0,0.95,NA,Primary Consumer,Omnivore,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Dascyllus flavicaudus,Pomacentridae,7,60,0,47.35,NA,Planktivore,Omnivore,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Neocirrhites armatus,Cirrhitidae,1,45,0,1.27,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Neocirrhites armatus,Cirrhitidae,1,50,0,1.79,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
2006,2006-07-11,14:00,15:35,LTER 1 Backreef Fish Transect 1 Swath 1 m,1,BA,1,1,Neocirrhites armatus,Cirrhitidae,1,55,0,2.44,NA,Secondary Consumer,Benthic Invertebrate Consumer,60,1,0,0,25,0,GB
